Call_ID,Transcript,Extracted_Event,Location,Sentiment,Urgency_Score
C673,"a plane just crashed. Okay, what kind of plane was it? How big was it, sir? It looked like a decina, like a prop.",Traffic collision,Texas,Concerned,0.49
C674,"I know it's less evident I'm getting ready to kill somebody. No, it's less rare. Evertons. Evertons.",Shooting / gun violence,"Platte County, Missouri",Concerned,0.63
C675,"No, everyone be on Broadway. College town, we're a mystery. By the way, we forget what we do. And we're going to school. We have a high school.",Burglary / robbery / intruder,Georgia,Concerned,0.47
C676,I just saw my best friend on the second hand. Just go on my car. I just saw your best friend had it. Where is it?,Shooting / gun violence,Florida,Concerned,0.63
C677,"And then for Coyote's file with me. Okay, okay. I love that.",Sexual assault / stalking,Florida,Concerned,0.59
C678,"My dad calls in a duck. Here, here dad.",Fall / accidental injury,"Port Richey, Florida",Concerned,0.48
C679,I went out broke. I'll see what that person I was getting here is. See what I get.,Domestic disturbance,"Clark County, Ohio",Concerned,0.42
C680,I can't see anything that I was shook with a bottle and I'm a police...,Stabbing / assault,"Harford County, Maryland",Concerned,0.59
C681,"I'll bring you in with that. Okay, are you?",Traffic collision,"Yavapai County, Arizona",Concerned,0.49
C682,We had someone come in and ask them for down 911 that they're a woman yelling.,Stabbing / assault,North Carolina,Concerned,0.59
C683,"Okay, it's a mind. Ma'am? Yes. What's the emergency? I...",Sexual assault / stalking,"Saratoga Springs, Utah",Concerned,0.59
C684,There's someone on my door and he keeps on knocking on the door and he tried opening it.,Rescue / person trapped,Oregon,Concerned,0.55
C685,I just killed my children. Excuse me? I just killed my children. Where are you?,Homicide / death investigation,"The Hill County, Texas",Distressed,0.66
C686,you about. I got the ordered food which is totally really Good to listen again.,Non-emergency / misuse of 911,Florida,Calm,0.06
C687,It sounded like gunshot behind the door.,Domestic disturbance,Colorado,Concerned,0.42
C688,"This is the American Sea. My car is in the water right off the chest, the Mullins car.",Traffic collision,Florida,Concerned,0.49
C689,I'd like to report gunshot wound. Someone got a shot where?,Homicide / death investigation,"Pierce County, Washington",Distressed,0.66
C690,I just came home and my girlfriend's and her mother's somebody hurt them and I know who to have that simple adherp.,Homicide / death investigation,New Jersey,Distressed,0.66
C691,Awardable congratulations about how to be okay,Medical emergency,"Hillsborough County, Florida",Concerned,0.53
C692,"My brother killed my brother. I heard this street name, but you guys are side in somewhere second.",Homicide / death investigation,"Spring Hill, Florida",Distressed,0.66
C693,"the guy laying on the road and bleeding. Okay, ma'am, is even hit by a car? I don't know.",Traffic collision,"the road, Florida",Concerned,0.49
C694,I can't play my son. I'll tell you what is your address.,Child welfare / unattended child,Arizona,Concerned,0.42
C695,"Yeah, I feel my birthday. I'm sorry. I feel my birthday. They are dying. I",Stabbing / assault,Texas,Concerned,0.59
C696,There's a report of somebody shooting you. I don't know where. You know if anybody's hurt right now? Yeah.,Domestic disturbance,New Mexico,Concerned,0.59
C697,"Where's your emergency? We're at. We're at. We're at here in 1600. 1,600.",Domestic disturbance,New Mexico,Concerned,0.42
C698,"We're at our house and trying to break into our house. Okay, where's your mom at? She got one.",Burglary / robbery / intruder,California,Concerned,0.47
C699,The shoe over there. That's why you're surfing. I'm in the boat.,Building fire,"Hartford, Connecticut",Concerned,0.59
C700,There are bees like hundreds swarming around a guy who can't get up off the ground thousand.,Animal attack,Texas,Concerned,0.49
C701,20 feet underwater. They don't really need to get out of here. Out of here. It's 9.0.,Water emergency / drowning,Iowa,Concerned,0.59
C702,"Alright, so we can fit By an even more",Animal attack,"Lorain, Ohio",Concerned,0.49
C703,"I do need to be right down. Alright, we will be right up.",Stabbing / assault,Ohio,Concerned,0.59
C704,One of the kids who met them from South India on the van will see I wear a wear ton of chitok here,Child welfare / unattended child,"Del Ray Beach, Florida",Concerned,0.42
C705,"I'm fine, this is smoking away. You say Green Park and Dogwood?",Building fire,South Carolina,Concerned,0.59
C706,She's not waking up. Okay. What's her address?,Shooting / gun violence,"Los Angeles County, California",Concerned,0.63
C707,"I just shot the morning vision over here until area. You did? Yes, it is. Your name is...",Homicide / death investigation,"Visalia, California",Distressed,0.66
C708,And this guy has a gun in my head. I need the car. The guy has got a gun in the car.,Domestic disturbance,"Murray County, Georgia",Concerned,0.42
C709,"So, I reach a lot of times before the part of the road. Out there. And come on.",Homicide / death investigation,Arizona,Distressed,0.66
C710,"I'm going to see the black animals by a loose, okay? And if you can't just in breathing.",Medical emergency,"Grand Lake, Colorado",Concerned,0.53
